famous_for,count
politician,777
footbal,592
actor,314
actress,205
basebal,117
singer,113
musician,112
olymp,104
basketbal,96
film,96
journalist,82
televis,77
american,47
ice,42
roman,42
writer,42
drummer,39
zealand,35
author,35
guitarist,34
comedian,33
diplomat,33
rock,31
radio,29
businessman,28
lawyer,26
african,24
bassist,24
rugbi,24
judg,22
voic,22
singer-songwrit,22
profession,22
korean,20
screenwrit,20
songwrit,19
canadian,19
poet,18
comic,18
anim,18
boxer,18
australian,17
compos,17
cricket,17
jazz,16
thoroughbr,15
countri,15
race,14
sport,14
news,14
bass,13
rican,13
newspap,12
hall,12
pop,12
cartoonist,12
model,12
record,12
novelist,12
british,11
educ,11
racehors,11
civil,11
presid,10
keyboardist,10
music,10
gener,10
member,10
r&b,10
director,10
jurist,10
documentari,9
colleg,9
polit,9
swimmer,9
saxophonist,8
public,8
busi,8
anglican,8
polic,8
financi,7
realiti,7
professor,7
academ,7
playwright,7
orthodox,7
soul,7
militari,7
athlet,7
rapper,7
chief,7
cyclist,7
historian,7
TV,7
execut,7
soviet,7
feder,6
broadcast,6
architect,6
manga,6
sportscast,6
economist,6
first,6
prime,6
photograph,6
punk,6
motorcycl,6
folk,6
heavi,6
lankan,6
photojournalist,6
new,6
irish,6
volleybal,6
child,5
nation,5
african-born,5
kong,5
mix,5
beauti,5
rhythm,5
island,5
milit,5
entrepreneur,5
graphic,5
charact,5
russian,5
world,5
attorney,5
art,5
fashion,5
scienc,5
stage,5
activist,5
report,5
hockey,5
media,5
armi,5
cinematograph,5
islamist,4
tribal,4
set,4
technolog,4
soldier,4
blue,4
magazin,4
tenni,4
visual,4
zealand-born,4
physician,4
jesuit,4
artist,4
puppet,4
theatr,4
rap,4
vocalist,4
MP,4
filmmak,4
murder,4
rower,4
sound,4
publish,4
game,4
telenovela,4
emmi,4
afl,4
pornograph,3
german,3
bluegrass,3
track,3
test,3
stunt,3
minist,3
video,3
bodybuild,3
disc,3
weightlift,3
brazilian,3
comedi,3
health,3
automot,3
progress,3
french,3
drug,3
biograph,3
nfl,3
band,3
social,3
comput,3
entertain,3
student,3
former,3
french-train,3
canoeist,3
labor,3
sumo,3
ukrainian,3
physicist,3
drag,3
soccer,3
fantasi,3
cfl,3
state,3
academi,3
judoka,3
stuntman,3
cardiologist,2
product,2
air,2
keyboard,2
sudanes,2
guerrilla,2
heavyweight,2
wheelchair,2
basqu,2
governor,2
club,2
educationalist,2
produc,2
emmy-win,2
of,2
columnist,2
presidenti,2
govern,2
astronaut,2
market,2
yachtsman,2
dancer,2
sect,2
paralymp,2
humanitarian,2
theater,2
trade,2
english,2
hip,2
ambassador,2
naval,2
percussionist,2
grammy-win,2
formula,2
intern,2
dog,2
bank,2
samoan,2
billionair,2
figur,2
republic-born,2
classic,2
hurler,2
futsal,2
canin,2
sculptor,2
painter,2
cypriot,2
editor,2
light-welterweight,2
conserv,2
gospel,2
admir,2
priest,2
royal,2
vfl,2
sportswrit,2
movi,2
scottish,2
leonean,2
hors,2
women',2
porn,2
republican,2
ceo,2
stand-up,2
prosecutor,2
newscast,2
design,2
terrorist,2
leader,2
alpin,2
martial,2
banker,2
funk,2
clergyman,2
singer‰ûòsongwrit,2
publicist,2
socialit,2
restaurateur,2
gaelic,2
lacross,2
slalom,2
philosoph,2
inventor,2
translat,2
surfer,2
golfer,2
mass,2
deputi,2
conductor,2
cast,2
gymnast,2
toni,2
pulitz,2
motown,2
isra,2
paralympian,2
cross-countri,2
box,2
DJ,2
bureaucrat,2
senat,2
commerci,1
longtim,1
parti,1
sea,1
big,1
econom,1
hostag,1
orient,1
transsexu,1
acrobat,1
human,1
water,1
plus-siz,1
har,1
iroijlaplap,1
lesbian,1
javelin,1
young,1
barbadian,1
ogala,1
polar,1
quebecoi,1
hutu,1
singer/rapp,1
ralli,1
electr,1
trumpet,1
journal,1
equestrian,1
powerlift,1
oscar-win,1
prelat,1
harvard,1
u.s.,1
bodyguard,1
walru,1
turntablist,1
neopagan,1
meteorologist,1
druze,1
white,1
healthcar,1
turkmen,1
mobster-turned-inform,1
worker,1
sex,1
nightclub,1
antiqu,1
gwich'in,1
chef,1
corrupt,1
gold,1
linguist,1
mahant,1
astrolog,1
timores,1
featherweight,1
distil,1
suprem,1
pardon,1
sultan,1
episcop,1
democrat,1
fencer,1
owner,1
schlager,1
travel,1
lemur,1
constitut,1
snowboard,1
literaci,1
script,1
auxiliari,1
short,1
rodeo,1
defenseman,1
labour,1
crossword,1
hardcor,1
biochemist,1
environment,1
veterinarian,1
transport,1
coxswain,1
repres,1
super,1
audio,1
naturalist,1
casino,1
financ,1
rabbi,1
and,1
trombonist,1
opera,1
gro,1
cardiac,1
fit,1
fisherman,1
feminist,1
electrician,1
offic,1
barrist,1
airplan,1
pro-lif,1
home,1
ship,1
businesswoman,1
ossetian,1
vln,1
special,1
costum,1
cree,1
tenor,1
anchorman,1
environmentalist,1
teacher,1
steel,1
protest,1
lobbyist,1
manufactur,1
pakistani,1
ventriloquist,1
helicopt,1
root,1
cruiserweight,1
jamaican,1
lyricist,1
illusionist,1
mime,1
major,1
hiv,1
base,1
chess,1
chaldean,1
lead,1
nobl,1
exil,1
plaintiff,1
intellig,1
romani,1
sabr,1
cinema,1
arabian-born,1
romanian,1
defens,1
squash,1
legisl,1
oil,1
children',1
hong,1
muffat,1
guinean,1
pelican,1
assyrian,1
turkish,1
mariana,1
magician,1
tornado,1
cuban,1
doo-wop,1
earli,1
concert,1
hip-hop,1
freedom,1
textil,1
trotter,1
rule,1
mafiosi,1
skier,1
country-folk,1
youtub,1
environ,1
oboist,1
bonobo,1
yukon,1
high,1
archaeologist,1
scholar,1
japanes,1
magnat,1
finnish,1
seventh,1
chairman,1
go,1
detect,1
irish-born,1
soap,1
dialect,1
talk,1
cookbook,1
contractor,1
banker.,1
last,1
religi,1
greco-roman,1
adapt,1
yugoslav,1
down,1
softbal,1
school,1
norwegian,1
sheriff,1
alp,1
elect,1
theme,1
union,1
sociologist,1
runner,1
impressionist,1
astrophysicist,1
ballet,1
freestyl,1
concept,1
head,1
ibo,1
handbal,1
fiction,1
marianan,1
pianist,1
guamanian,1
justic,1
evolutionari,1
western,1
indoor,1
cleric,1
bmx,1
field,1
wrestler,1
cross,1
dalit,1
italian,1
british-train,1
industri,1
avant-gard,1
biathlet,1
convict,1
museum,1
regga,1
sprint,1
grammi,1
ski,1
southern,1
commission,1
food,1
paraguayan,1
shipown,1
pilot,1
brass,1
pageant,1
ladi,1
libertarian,1
tunica-biloxi,1
curler,1
mlb,1
nasa,1
event,1
nhl,1
biblic,1
vice,1
cellist,1
three,1
sprinter,1
tripl,1
legal,1
iì±upiat,1
surf,1
quì©bì©coi,1
smooth,1
engin,1
biologist,1
dominican,1
anishinaab,1
theologian,1
motorcross,1
light,1
catalan,1
campaign,1
supermodel,1
telecommun,1
goalkeep,1
folksing,1
long,1
byzantin,1
cook,1
rhythmic,1
mexican,1
spanish,1
structur,1
univers,1
internet,1
restaur,1
cabl,1
soca,1
dissid,1
landscap,1
portugues,1
ntfa,1
congressman,1
studio,1
speed,1
car,1
pitchman,1
afi,1
toyota,1
medic,1
research,1
opposit,1
dual,1
politician.,1
xiangsheng,1
appeal,1
kgb,1
psychiatrist,1
pharmacologist,1
scientist,1
puerto,1
communist,1
collegi,1
tachi,1
republ,1
one-hit,1
announc,1
cheyenn,1
south,1
websit,1
